	2.0
lightens	1.0
lightly	1.0
lightness	1.0
lightning	4.0
lights	2.0
like	40.0
likely	1.0
likeness	3.0
likewise	2.0
liking	1.0
limbs	2.0
limit	1.0
limits	1.0
limping	1.0
lineament	1.0
lip	1.0
lips	17.0
liquid	1.0
liquor	1.0
lisping	1.0
list	1.0
little	12.0
live	19.0
lived	1.0
lively	1.0
liver	1.0
livery	2.0
lives	14.0
livest	1.0
livia	1.0
living	5.0
lo	3.0
loathed	2.0
loathsome	3.0
locks	2.0
lodge	1.0
lodges	1.0
lodging	2.0
loggerhead	1.0
logs	3.0
loins	1.0
lolling	1.0
long	16.0
longer	5.0
longexperienced	1.0
look	31.0
lookd	1.0
looked	1.0
looking	1.0
looks	7.0
lookst	2.0
loose	1.0
lord	30.0
lose	2.0
loss	4.0
lost	3.0
loud	1.0
lour	1.0
louring	1.0
love	134.0
loved	3.0
lovedevouring	1.0
lovely	2.0
loveperforming	1.0
lover	4.0
lovers	8.0
loves	14.0
lovesong	1.0
lovest	2.0
loving	6.0
lovingjealous	1.0
low	1.0
lucentio	1.0
lucio	1.0
lure	1.0
lurk	1.0
lustier	1.0
lusty	2.0
mab	3.0
mad	10.0
madam	23.0
made	20.0
madly	1.0
madman	2.0
madmans	1.0
madmen	1.0
madness	1.0
maid	9.0
maiden	1.0
maidenhead	2.0
maidenheads	1.0
maidenhoods	1.0
maidenwidowed	1.0
maids	6.0
maintains	1.0
make	40.0
makes	12.0
making	3.0
mammet	1.0
man	65.0
manage	2.0
mandrakes	1.0
manes	1.0
mangle	1.0
mangled	2.0
manly	1.0
manner	1.0
mannerly	1.0
manners	2.0
mans	5.0
mansion	2.0
mantle	1.0
mantook	1.0
mantua	14.0
mantuas	1.0
many	13.0
manys	1.0
mar	2.0
marchpane	1.0
margent	1.0
maria	1.0
mark	6.0
markman	1.0
marrd	1.0
marriage	10.0
marriageday	1.0
married	19.0
marry	23.0
martial	1.0
martino	1.0
martyrd	1.0
marvellous	1.0
mask	3.0
maskd	1.0
maskers	3.0
masks	1.0
mass	2.0
master	10.0
masterless	1.0
masters	3.0
match	4.0
matchd	2.0
matron	1.0
matter	5.0
matternurse	1.0
mattock	3.0
maw	1.0
may	47.0
mayst	3.0
me	264.0
meagre	1.0
mean	9.0
meaning	3.0
means	8.0
meanst	1.0
meant	2.0
meantime	2.0
measure	7.0
measuring	1.0
meat	3.0
meats	1.0
meddle	1.0
medicine	1.0
medlar	1.0
medlars	1.0
meet	8.0
meeting	2.0
melancholy	1.0
memory	1.0
men	21.0
menace	1.0
mend	2.0
mens	8.0
merchandise	1.0
merchant	1.0
merciful	2.0
mercutio	84.0
mercutios	5.0
mercy	5.0
merit	2.0
merrily	1.0
merriment	1.0
merry	8.0
messages	1.0
messenger	2.0
met	4.0
meteor	1.0
methinks	3.0
mewd	1.0
mickle	1.0
midwife	1.0
might	5.0
mightst	2.0
miles	1.0
milk	1.0
mind	8.0
minded	1.0
minds	1.0
mine	28.0
minim	1.0
minion	1.0
ministerd	1.0
minstrel	1.0
minstrels	2.0
minute	4.0
mire	1.0
misadventure	2.0
misadventured	1.0
misapplied	1.0
misbehaved	1.0
miscarried	1.0
mischance	1.0
mischief	1.0
miserable	2.0
misery	2.0
misfortune	1.0
misfortunes	1.0
misgives	1.0
miss	2.0
misshapen	2.0
missheathed	1.0
mistaenfor	1.0
mistaking	1.0
mistemperd	1.0
mistermd	1.0
mistlike	1.0
mistress	11.0
mistresses	1.0
misty	1.0
mixd	1.0
mixture	1.0
moans	1.0
mocker	1.0
moderately	1.0
modern	1.0
modesty	3.0
monarch	1.0
monday	2.0
money	1.0
monster	1.0
montague	47.0
montagues	7.0
month	2.0
monthly	1.0
monument	6.0
mood	1.0
moody	2.0
moon	4.0
moonshines	1.0
moral	1.0
more	67.0
morn	3.0
morning	7.0
mornings	4.0
morrow	6.0
morsel	1.0
mortal	2.0
mortals	2.0
most	16.0
mother	15.0
mothers	2.0
motion	2.0
mountain	1.0
mourners	1.0
mouse	3.0
mousehunt	1.0
mouth	2.0
move	9.0
moved	7.0
moves	1.0
moveth	1.0
much	37.0
muffle	1.0
muffled	1.0
mumbling	1.0
murder	6.0
murderd	3.0
murdered	1.0
murderer	3.0
murders	3.0
music	9.0
musician	17.0
musicians	9.0
musics	1.0
must	40.0
musty	1.0
mutiny	2.0
my	357.0
myself	15.0
naked	1.0
name	24.0
named	1.0
names	6.0
napkins	1.0
narrow	1.0
native	2.0
natural	2.0
nature	4.0
natures	2.0
naught	1.0
nay	20.0
near	7.0
necessaries	1.0
neck	2.0
need	10.0
needful	1.0
needly	1.0
needs	4.0
needst	1.0
needy	3.0
neer	10.0
neglecting	1.0
neighbour	1.0
neighbourstained	1.0
neither	2.0
nell	1.0
nephew	3.0
nest	2.0
nets	1.0
never	18.0
new	12.0
newbeloved	1.0
newly	2.0
newmade	2.0
news	15.0
next	7.0
nice	2.0
nickname	1.0
niece	1.0
nieces	1.0
night	68.0
nightingale	3.0
nightly	4.0
nights	6.0
nimble	1.0
nimblepiniond	1.0
nine	5.0
nipple	1.0
no	101.0
noble	8.0
nobleman	2.0
nobly	1.0
noise	8.0
none	15.0
noon	1.0
nor	20.0
north	1.0
nose	2.0
noses	1.0
not	258.0
note	4.0
noted	1.0
notes	1.0
nothing	14.0
notice	1.0
noting	1.0
nought	2.0
nourishd	1.0
now	82.0
number	2.0
numbers	1.0
nuns	1.0
nuptials	1.0
nurse	146.0
nursed	2.0
nurseo	1.0
nuts	1.0
o	157.0
obey	2.0
obscured	1.0
obsequies	2.0
occasion	3.0
occupy	1.0
oclock	2.0
odd	2.0
oddly	1.0
odds	1.0
oer	11.0
oercoverd	1.0
oerperch	1.0
of	395.0
off	10.0
offence	1.0
offer	2.0
offered	1.0
office	2.0
officer	1.0
oft	4.0
often	2.0
old	28.0
older	1.0
omit	1.0
on	77.0
once	10.0
one	59.0
ones	1.0
only	9.0
ont	2.0
ope	2.0
open	5.0
opens	1.0
operation	1.0
opportunity	1.0
opposed	1.0
opposite	1.0
opposition	1.0
oppress	1.0
oppression	3.0
or	67.0
orb	1.0
orchard	7.0
ordained	1.0
order	2.0
orisons	1.0
ormore	1.0
ornament	2.0
ornaments	2.0
osier	1.0
other	18.0
others	9.0
our	60.0
ours	2.0
ourselves	1.0
out	53.0
outcry	1.0
outrage	2.0
ove	1.0
over	2.0
overheardst	1.0
overset	1.0
overthrown	1.0
overthrows	1.0
overwhelming	1.0
owe	1.0
owes	1.0
own	15.0
ownbe	1.0
pack	1.0
packed	1.0
packthread	1.0
page	14.0
pain	3.0
pains	2.0
painted	1.0
painter	1.0
pair	2.0
palace	2.0
pale	11.0
palm	2.0
palmers	2.0
paly	1.0
pantry	1.0
paper	2.0
paradise	2.0
paramour	1.0
pardon	10.0
pardond	1.0
pardoning	1.0
parentage	1.0
parents	2.0
paris	61.0
parlous	1.0
parsons	1.0
part	23.0
parted	1.0
parties	1.0
parting	1.0
partisans	2.0
partly	1.0
parts	2.0
pass	3.0
passado	2.0
passage	1.0
passd	1.0
passing	2.0
passion	3.0
past	7.0
pastry	1.0
pate	1.0
path	1.0
pathways	1.0
patience	5.0
patient	3.0
pay	4.0
peace	19.0
pear	1.0
peerd	1.0
peevish	1.0
pen	1.0
penalty	1.0
pencil	1.0
penny	1.0
pennyworths	1.0
pens	1.0
pensive	1.0
pentecost	1.0
penury	1.0
people	1.0
peppered	1.0
perchance	1.0
perdonamis	1.0
perfection	1.0
perforce	2.0
perform	1.0
perhaps	1.0
peril	1.0
perjured	1.0
perjuries	1.0
perjury	1.0
pernicious	1.0
person	2.0
personae	1.0
persons	2.0
peruse	1.0
perverse	1.0
pestilence	1.0
pestilent	1.0
peter	27.0
peters	3.0
petrarch	1.0
petrucio	1.0
phaethon	1.0
philosophy	3.0
phoebus	1.0
phrase	1.0
physic	1.0
pie	1.0
piece	2.0
pieces	1.0
pierced	1.0
piercing	1.0
pilgrim	2.0
pilgrimage	1.0
pilgrims	2.0
pilot	2.0
pin	1.0
pined	1.0
pink	2.0
pipes	1.0
pitch	1.0
pitcher	1.0
piteous	5.0
pitiful	2.0
pity	2.0
place	12.0
placentio	1.0
plague	3.0
plagues	1.0
plain	1.0
plainly	1.0
plaintainleaf	1.0
plant	1.0
plants	1.0
plate	1.0
plats	1.0
play	8.0
playd	1.0
playing	1.0
plays	2.0
pleading	1.0
pleasant	1.0
please	3.0
pleasure	5.0
pluck	2.0
plucks	1.0
point	5.0
points	1.0
poised	1.0
poison	14.0
pomegranatetree	1.0
poor	18.0
poperin	1.0
portentous	1.0
porter	1.0
portly	1.0
possess	1.0
possessd	2.0
post	2.0
posterity	1.0
posthorses	1.0
pothecary	1.0
potion	1.0
potions	1.0
potpan	2.0
pots	1.0
poultice	1.0
poutst	1.0
poverty	2.0
powder	3.0
power	5.0
powerful	1.0
pox	1.0
practise	1.0
praised	1.0
prating	1.0
pray	17.0
prayer	2.0
prayers	3.0
precious	3.0
preciousjuiced	1.0
predicament	1.0
predominant	1.0
prefixed	1.0
prepare	5.0
prepared	1.0
presage	1.0
presence	2.0
present	3.0
presently	3.0
preserving	1.0
press	2.0
presses	2.0
prest	1.0
prettiest	2.0
pretty	7.0
prevails	1.0
prevent	2.0
prevented	1.0
price	2.0
prick	2.0
prickd	1.0
pricking	1.0
pricks	1.0
pricksong	1.0
pride	2.0
prince	37.0
princes	6.0
princox	1.0
prison	2.0
prisoner	1.0
private	2.0
privy	1.0
proceeding	1.0
procure	1.0
procures	1.0
prodigious	1.0
profane	1.0
profaners	1.0
professd	1.0
progress	1.0
prolixity	1.0
prologue	3.0
promise	1.0
promised	1.0
promotion	1.0
prompt	1.0
prompter	1.0
pronounce	3.0
proof	3.0
propagate	1.0
properer	1.0
proportion	1.0
proportiond	1.0
prorogue	1.0
prorogued	1.0
prosperous	2.0
prostrate	1.0
protest	3.0
proud	6.0
prouds	1.0
prove	6.0
proverbd	1.0
proves	1.0
provided	1.0
provision	1.0
provoke	1.0
prudence	1.0
pry	1.0
public	3.0
puffs	1.0
puling	1.0
pulse	1.0
pump	2.0
punishd	1.0
punished	1.0
punto	1.0
pupil	1.0
purblind	1.0
purchase	1.0
pure	3.0
purgatory	1.0
purge	1.0
purged	2.0
purple	1.0
purpose	3.0
pursued	2.0
pursuing	1.0
push	1.0
put	18.0
putting	1.0
qualities	1.0
quarrel	11.0
quarrelled	1.0
quarrelling	2.0
quarrels	1.0
quarter	1.0
queen	1.0
quench	2.0
question	2.0
quick	2.0
quickly	5.0
quiet	4.0
quinces	1.0
quit	1.0
quite	2.0
quivering	1.0
quivers	1.0
quote	1.0
quoth	3.0
r	2.0
rage	4.0
raging	1.0
railst	1.0
rains	1.0
raise	4.0
raised	2.0
ran	4.0
rancour	1.0
rank	1.0
rankd	1.0
rapier	2.0
rapiers	1.0
rash	1.0
rat	1.0
ratcatcher	1.0
rate	2.0
rather	4.0
rattling	1.0
raven	1.0
ravens	1.0
re	2.0
reach	1.0
read	6.0
reads	1.0
ready	5.0
rearward	1.0
reason	5.0
reasons	1.0
rebeck	1.0
rebellious	1.0
receipt	1.0
receive	1.0
receptacle	1.0
reckoning	2.0
reclaimd	1.0
reconcile	1.0
redeem	1.0
redress	1.0
reeky	1.0
reels	1.0
reenter	7.0
reflex	1.0
refuse	1.0
region	1.0
reign	2.0
rejoice	2.0
relations	1.0
religion	1.0
remain	2.0
remedies	1.0
remedy	3.0
remember	6.0
rememberd	1.0
remembering	1.0
remnants	1.0
remove	4.0
removed	1.0
renownd	1.0
repent	2.0
repetition	1.0
repliest	1.0
reply	1.0
report	1.0
repose	1.0
reputation	1.0
request	1.0
residence	1.0
resign	1.0
resolution	1.0
resolve	1.0
resort	1.0
respect	2.0
respective	1.0
respects	1.0
rest	15.0
restorative	1.0
rests	1.0
retain	1.0
retire	1.0
retires	3.0
retiring	1.0
retorts	1.0
return	5.0
returnd	1.0
revel	1.0
revels	1.0
revenge	1.0
reverend	1.0
reverse	1.0
reverso	1.0
revive	1.0
revived	2.0
revolt	1.0
revolts	1.0
rhyme	2.0
riband	1.0
rich	10.0
rid	1.0
riddling	2.0
right	5.0
righteous	1.0
rigour	1.0
rind	1.0
ring	5.0
ripe	1.0
ripening	1.0
rise	1.0
rite	2.0
rites	1.0
roard	1.0
roaring	2.0
robes	2.0
rocks	1.0
rode	1.0
roe	1.0
rogue	1.0
romeo	339.0
romeobanished	1.0
romeos	16.0
rood	1.0
room	4.0
rooteth	1.0
ropery	1.0
ropes	1.0
rosaline	9.0
rosalines	1.0
rose	1.0
rosemary	3.0
roses	2.0
rote	1.0
rotten	1.0
rough	5.0
round	1.0
rouse	3.0
rude	5.0
ruled	3.0
run	13.0
runagate	1.0
runaways	1.0
rung	1.0
runnst	1.0
runs	1.0
rushd	1.0
rushes	2.0
rust	1.0
sack	1.0
sacrificed	1.0
sacrifices	1.0
sad	5.0
sadly	1.0
sadness	4.0
safety	1.0
said	15.0
sail	3.0
sailing	1.0
sails	1.0
saint	9.0
saints	3.0
saintseducing	1.0
sake	4.0
sale	1.0
sallow	1.0
salt	2.0
salutation	1.0
saluteth	1.0
same	14.0
sampson	22.0
satisfaction	1.0
satisfied	5.0
sauce	1.0
saucy	2.0
savagewild	1.0
save	3.0
saw	10.0
say	52.0
saying	1.0
says	10.0
sayst	3.0
scales	1.0
scant	1.0
scape	2.0
scarce	1.0
scare	1.0
scarf	1.0
scaring	1.0
scarlet	2.0
scars	1.0
scathe	1.0
scatterd	1.0
scene	27.0
school	1.0
schoolboys	1.0
scope	1.0
score	1.0
scorn	5.0
scourge	1.0
scrape	1.0
scratch	3.0
scurvy	2.0
sea	7.0
seal	2.0
seald	2.0
search	4.0
searchers	1.0
seasick	1.0
season	1.0
second	22.0
secret	3.0
secretnurse	1.0
see	36.0
seeds	1.0
seeing	2.0
seek	4.0
seeking	1.0
seeks	1.0
seem	1.0
seeming	3.0
seems	2.0
seemst	1.0
seen	6.0
sees	1.0
seest	2.0
seize	1.0
self	1.0
selfwilld	1.0
sell	4.0
semblance	1.0
send	13.0
sending	1.0
sends	1.0
sense	3.0
senseless	1.0
senses	1.0
sent	2.0
sentence	2.0
sententious	1.0
separated	1.0
sepulchre	2.0
serious	1.0
serpent	1.0
serpents	1.0
servant	33.0
servants	3.0
serve	6.0
served	2.0
serves	1.0
servingcreature	1.0
servingcreatures	1.0
servingman	1.0
servingmen	3.0
set	10.0
sets	1.0
settled	1.0
several	2.0
severest	1.0
severing	1.0
severity	1.0
shadows	2.0
shady	1.0
shaft	1.0
shake	2.0
shakespeare	1.0
shall	110.0
shalt	11.0
shame	12.0
shamest	2.0
shanks	1.0
shape	5.0
share	2.0
sharp	2.0
sharpground	1.0
sharps	1.0
she	114.0
sheath	1.0
shed	2.0
sheet	1.0
shegod	1.0
shell	2.0
shelves	1.0
shes	10.0
shield	1.0
shift	1.0
shin	1.0
shining	1.0
shirt	1.0
shoemaker	1.0
shoes	2.0
shop	2.0
shore	1.0
short	7.0
shortly	1.0
shot	3.0
should	49.0
show	11.0
showering	1.0
shown	2.0
shows	7.0
shriek	1.0
shrieks	1.0
shrift	5.0
shrine	1.0
shrived	1.0
shroud	3.0
shrunk	1.0
shunnd	1.0
shut	5.0
shuts	2.0
sick	7.0
side	4.0
sideo	1.0
sides	1.0
siege	2.0
sigh	1.0
sighs	5.0
sight	9.0
signal	1.0
signify	1.0
signior	4.0
silk	2.0
silver	9.0
silversweet	1.0
simon	1.0
simple	3.0
simpleness	1.0
simples	1.0
sin	12.0
sinabsolver	1.0
since	11.0
sing	2.0
singer	1.0
singing	1.0
single	1.0
singleness	1.0
singlesoled	1.0
sings	3.0
singular	2.0
sink	2.0
sinners	1.0
sir	57.0
sirrah	6.0
sirreverence	1.0
sisterhood	1.0
sisters	1.0
sit	6.0
sits	2.0
sitting	2.0
six	1.0
skainsmates	1.0
skill	1.0
skins	1.0
skitless	1.0
skulls	2.0
slack	1.0
slain	17.0
slander	1.0
slanderd	1.0
slandertybalt	1.0
slaughterd	5.0
slave	3.0
slay	4.0
slays	1.0
sleep	12.0
sleeping	1.0
sleeps	2.0
slew	5.0
slewst	1.0
slip	2.0
slop	1.0
slow	4.0
slowd	1.0
slugabed	1.0
sluttish	1.0
small	3.0
smallest	1.0
smatter	1.0
smell	1.0
smelling	1.0
smells	1.0
smelt	1.0
smile	2.0
smiles	2.0
smilest	1.0
smock	1.0
smoke	2.0
smooth	2.0
snatching	1.0
snow	1.0
snowy	1.0
so	145.0
soar	2.0
sobersuited	1.0
sociable	1.0
society	1.0
soft	5.0
softend	1.0
softest	1.0
sojourn	1.0
solace	1.0
sold	2.0
soldiers	2.0
sole	3.0
solely	1.0
solemn	1.0
solemnity	3.0
soles	1.0
some	56.0
something	4.0
sometime	3.0
sometimes	2.0
son	17.0
soninlaw	1.0
sons	1.0
soon	13.0
sooner	1.0
soonest	1.0
soonspeeding	1.0
sore	1.0
sorrow	8.0
sorrows	2.0
sorry	1.0
sort	1.0
sorted	1.0
sought	3.0
soul	14.0
souls	2.0
sound	13.0
sounding	2.0
soundly	2.0
soundpost	1.0
sounds	1.0
sour	4.0
south	1.0
sovereign	1.0
spade	2.0
spake	2.0
spakest	1.0
spanish	1.0
spare	1.0
sparing	1.0
sparkling	1.0
speak	28.0
speakest	1.0
speaks	6.0
speakst	1.0
special	1.0
sped	1.0
speech	1.0
speed	3.0
speedy	1.0
spell	1.0
spent	3.0
spheres	1.0
spices	1.0
spiders	2.0
spilt	1.0
spirit	4.0
spirits	1.0
spit	1.0
spite	4.0
spited	1.0
spits	1.0
spleen	1.0
splendor	1.0
spoke	6.0
spoken	1.0
sport	2.0
spread	2.0
spring	2.0
sprung	1.0
spurs	2.0
spy	2.0
squirrel	1.0
stabbed	1.0
stabs	2.0
stage	1.0
stain	1.0
staind	2.0
stainless	1.0
stains	1.0
stair	1.0
stakes	1.0
stale	1.0
stand	26.0
stands	4.0
starcrossd	1.0
stark	1.0
stars	7.0
startles	1.0
starts	2.0
starve	1.0
starved	1.0
starveth	1.0
state	5.0
statue	1.0
stay	28.0
stayd	3.0
staying	1.0
stays	2.0
steads	1.0
steal	2.0
steals	1.0
stealth	1.0
steeds	1.0
steel	4.0
steepd	1.0
steerage	1.0
step	2.0
stick	1.0
stickst	1.0
stiff	2.0
stifled	1.0
still	14.0
stillwaking	1.0
stint	1.0
stinted	2.0
stir	6.0
stirreth	1.0
stirring	1.0
stirs	1.0
stoccata	1.0
stock	1.0
stole	1.0
stoln	2.0
stone	1.0
stones	2.0
stony	2.0
stop	5.0
stoppd	1.0
store	2.0
storm	2.0
story	2.0
stout	2.0
straight	10.0
strain	1.0
straind	1.0
straining	1.0
strains	1.0
strange	6.0
stranger	1.0
strangers	1.0
strangled	1.0
stratagems	1.0
streaks	2.0
stream	1.0
street	6.0
streets	4.0
strength	6.0
stretch	1.0
stretches	1.0
strew	4.0
strife	2.0
strike	5.0
strive	1.0
stroke	1.0
strong	3.0
struck	2.0
strucken	1.0
study	1.0
stuffd	2.0
stumble	1.0
stumbled	1.0
stumblest	1.0
stumbling	1.0
subject	1.0
subjects	1.0
submission	1.0
substance	3.0
substantial	1.0
subtly	1.0
such	46.0
suckd	2.0
sucking	1.0
sudden	7.0
suffer	1.0
suit	3.0
sullen	2.0
sum	2.0
summer	2.0
summers	2.0
sun	15.0
sunder	1.0
suns	1.0
sunset	1.0
supper	4.0
supple	1.0
supposed	3.0
sups	1.0
surcease	1.0
sure	4.0
surgeon	1.0
susan	3.0
suspected	1.0
suspecting	1.0
suspicion	2.0
swallowd	1.0
swan	1.0
swashing	1.0
sway	1.0
swear	9.0
swears	1.0
swearst	1.0
sweet	33.0
sweeten	1.0
sweeter	1.0
sweetest	3.0
sweetheart	1.0
sweeting	1.0
sweetly	1.0
sweetmeats	1.0
swift	3.0
swifter	1.0
switch	2.0
sword	8.0
swords	5.0
sworn	3.0
swounded	1.0
swung	1.0
sycamore	1.0
sympathy	1.0
t	2.0
table	1.0
tables	1.0
tackled	1.0
taen	2.0
tail	1.0
tailor	2.0
tainted	1.0
take	41.0
taken	2.0
taker	1.0
taking	2.0
tale	6.0
talk	12.0
talkd	2.0
talked	1.0
talkst	1.0
tall	1.0
tallowface	1.0
tardy	1.0
tarry	1.0
tartars	1.0
tasselgentle	1.0
taste	3.0
tasted	1.0
tatterd	1.0
tavern	1.0
teach	3.0
team	1.0
tear	5.0
tears	20.0
teat	1.0
tedious	2.0
teeth	2.0
tell	45.0
temper	2.0
temperd	1.0
tempering	1.0
tempesttossed	1.0
tempt	1.0
ten	2.0
tender	7.0
term	2.0
terms	1.0
terror	2.0
testify	1.0
tetchy	1.0
text	1.0
than	47.0
thank	6.0
thankful	2.0
thankings	1.0
thanks	3.0
that	344.0
thats	8.0
the	682.0
thee	139.0
their	47.0
theirs	1.0
them	43.0
theme	1.0
then	84.0
thence	2.0
theno	1.0
there	64.0
therefore	23.0
thereof	1.0
theres	5.0
therewithal	1.0
these	43.0
they	57.0
theyll	1.0
theyre	1.0
thievish	1.0
thigh	1.0
thin	1.0
thine	13.0
thing	17.0
thingo	1.0
things	8.0
think	21.0
thinking	1.0
thinkst	2.0
thinly	1.0
third	5.0
thirty	2.0
this	216.0
thisbe	1.0
thisthou	1.0
thither	4.0
thorn	1.0
those	16.0
thou	276.0
though	11.0
thought	8.0
thoughts	3.0
thous	1.0
thousand	7.0
thread	1.0
threatend	1.0
threatened	1.0
three	8.0
threehours	1.0
thrice	1.0
thrills	1.0
thrive	1.0
throats	1.0
throne	2.0
through	8.0
throughout	1.0
throw	1.0
thrown	1.0
throws	1.0
thrust	3.0
thrusts	1.0
thumb	6.0
thursday	14.0
thus	9.0
thwarted	1.0
thy	167.0
thyself	7.0
tiberio	1.0
tickle	1.0
tickling	1.0
tide	1.0
tidings	3.0
ties	1.0
tigers	1.0
till	22.0
tilts	1.0
time	34.0
timeless	1.0
times	8.0
tips	1.0
tiptoe	1.0
tis	37.0
titans	1.0
tithepigs	1.0
title	1.0
to	540.0
toad	3.0
today	3.0
toes	1.0
together	1.0
toil	3.0
told	3.0
tomb	11.0
tombs	1.0
tomorrow	15.0
tongue	10.0
tongues	2.0
tonight	15.0
too	57.0
took	5.0
tool	1.0
topgallant	1.0
tops	2.0
torch	8.0
torchbearer	1.0
torchbearers	1.0
torches	2.0
torment	1.0
tormented	1.0
torments	1.0
torn	1.0
tortoise	1.0
torture	4.0
tot	2.0
touch	3.0
touching	1.0
toward	3.0
towards	4.0
tower	1.0
town	4.0
toy	1.0
traces	1.0
traffic	1.0
traind	1.0
traitor	1.0
transgression	1.0
transparent	1.0
treacherous	1.0
tread	1.0
treads	1.0
treason	1.0
treasure	1.0
tree	1.0
trees	1.0
tremble	2.0
trembles	1.0
trencher	2.0
trespass	1.0
tributary	1.0
trick	1.0
tried	1.0
trifling	1.0
trim	2.0
triumph	2.0
triumphant	1.0
trooping	1.0
troth	2.0
trouble	2.0
troubled	1.0
trow	2.0
truce	1.0
trucklebed	1.0
trudge	2.0
true	28.0
truly	3.0
trumpet	1.0
trunk	1.0
trust	5.0
trusty	1.0
truth	5.0
try	2.0
tune	1.0
tuners	1.0
turn	12.0
turnd	1.0
turning	2.0
turns	3.0
tush	2.0
tut	4.0
tutor	1.0
tutord	1.0
twain	2.0
twas	3.0
twelve	2.0
twenty	10.0
twere	1.0
twill	1.0
twinkle	1.0
twisted	1.0
twixt	2.0
two	23.0
twould	1.0
tybalt	68.0
tybalts	11.0
tying	1.0
tyrannous	1.0
tyrant	2.0
umpire	1.0
unaccustomd	3.0
unadvised	1.0
unattainted	1.0
unbound	1.0
unbruised	1.0
uncle	4.0
unclean	1.0
uncomfortable	1.0
uncoverd	1.0
under	7.0
underneath	2.0
undertake	1.0
undone	2.0
undraws	1.0
uneven	1.0
unfirm	1.0
unfold	1.0
unfurnished	1.0
unhallowd	1.0
unhappy	2.0
unharmd	1.0
universal	1.0
unkind	1.0
unknown	1.0
unless	6.0
unlookdfor	1.0
unluckily	1.0
unlucky	2.0
unmade	1.0
unmannd	1.0
unnatural	1.0
unplagued	1.0
unpleasing	1.0
unreasonable	1.0
unrest	1.0
unruly	1.0
unsatisfied	1.0
unsavoury	1.0
unseemly	1.0
unseen	1.0
unstaind	1.0
unstuffd	1.0
unsubstantial	1.0
untalkd	1.0
untangled	1.0
untaught	1.0
unthankfulness	1.0
untimely	5.0
unto	9.0
unwashed	1.0
unwieldy	1.0
unworthiest	1.0
unworthy	2.0
up	56.0
upfill	1.0
upon	43.0
uproused	1.0
urged	3.0
urging	1.0
us	30.0
use	14.0
usest	1.0
usurer	1.0
utter	1.0
utterance	1.0
uttered	1.0
utters	1.0
v	12.0
vain	3.0
vainly	1.0
valentine	1.0
valentio	1.0
valiant	2.0
validity	1.0
valour	2.0
valours	1.0
vanishd	1.0
vanity	2.0
variable	1.0
variance	1.0
vast	1.0
vault	9.0
vaulty	1.0
veins	4.0
venge	1.0
vengeance	2.0
venus	2.0
verona	14.0
veronas	2.0
versal	1.0
very	25.0
vessels	1.0
vestal	2.0
vexd	2.0
vexed	1.0
vi	1.0
vial	2.0
vice	2.0
victory	1.0
view	3.0
vile	8.0
villain	17.0
villanous	1.0
violence	1.0
violent	2.0
violently	1.0
virtue	1.0
virtues	1.0
virtuous	2.0
virtuouswhere	1.0
visage	1.0
visiting	1.0
visor	3.0
vitae	2.0
vitravio	1.0
voice	5.0
voices	1.0
volume	45.0
vow	3.0
vowd	1.0
vowel	1.0
vows	1.0
waddled	1.0
wagoner	2.0
wagonspokes	1.0
wail	1.0
wailing	1.0
wait	1.0
waiting	1.0
wake	5.0
waken	1.0
wakened	1.0
wakes	3.0
waking	3.0
walk	4.0
walking	1.0
wall	10.0
walls	3.0
wanders	1.0
want	2.0
wanting	2.0
wanton	2.0
wantons	2.0
ward	1.0
ware	2.0
warm	4.0
warmth	1.0
warning	1.0
warns	1.0
warrant	11.0
wary	1.0
was	48.0
wash	2.0
washd	3.0
wast	6.0
waste	3.0
watch	13.0
watchd	1.0
watching	2.0
watchman	11.0
watchmen	1.0
water	2.0
watery	1.0
waverer	1.0
wax	2.0
waxes	1.0
way	9.0
ways	2.0
wayward	1.0
we	66.0
weak	3.0
weaker	1.0
weakest	1.0
weal	1.0
wealth	2.0
weandi	1.0
weapon	2.0
weapons	2.0
wear	4.0
wearing	2.0
weary	1.0
web	1.0
wed	3.0
wedded	2.0
wedding	2.0
weddingbed	1.0
weddingday	2.0
wednesday	3.0
weeds	2.0
week	2.0
weep	9.0
weeping	4.0
weeps	4.0
weepst	1.0
weighd	1.0
welcome	8.0
well	68.0
welladay	2.0
wellapparelld	1.0
wellgovernd	1.0
wellseeming	1.0
wench	3.0
wenchs	1.0
went	1.0
wentst	1.0
were	37.0
wert	3.0
west	1.0
westward	1.0
what	164.0
whateer	1.0
whats	9.0
wheels	1.0
when	53.0
whence	2.0
where	51.0
wherefore	5.0
wherein	1.0
whereon	1.0
wheres	6.0
whereto	1.0
which	60.0
while	7.0
whining	1.0
whip	2.0
whippd	1.0
whispering	1.0
whistle	1.0
whistles	1.0
whit	1.0
white	2.0
whiter	1.0
whiteupturned	1.0
whither	2.0
who	35.0
whoeer	1.0
whole	4.0
whom	6.0
whore	1.0
whoreson	1.0
whos	2.0
whose	14.0
why	37.0
wicked	1.0
wide	3.0
widow	1.0
wield	1.0
wife	20.0
wifeand	1.0
wild	3.0
wildgoose	2.0
wilful	1.0
will	147.0
william	1.0
willingly	1.0
wills	1.0
wilt	30.0
wind	3.0
window	5.0
windows	2.0
winds	2.0
windswift	1.0
wine	1.0
winged	1.0
wings	5.0
wink	1.0
winking	1.0
winning	1.0
winter	1.0
wisdom	4.0
wise	5.0
wisely	5.0
wish	6.0
